,SAR,Infections,Reff_1,Reff_2,Excess,n
364,1.163103567,0.027595103,0.085976866,0.171953733,1.310523453,36300
365,1.166588851,0.02766069,0.085720003,0.171440006,1.307314091,36400
366,1.170077436,0.027726242,0.085464429,0.170928858,1.304119291,36500
367,1.173569325,0.027791758,0.085210134,0.170420269,1.300938951,36600
368,1.17706452,0.02785724,0.08495711,0.16991422,1.29777297,36700
369,1.180563025,0.027922686,0.084705346,0.169410693,1.294621248,36800
370,1.184064841,0.027988097,0.084454834,0.168909669,1.291483685,36900
371,1.187569972,0.028053473,0.084205565,0.168411129,1.288360183,37000
372,1.191078421,0.028118814,0.083957528,0.167915056,1.285250644,37100
373,1.19459019,0.028184121,0.083710716,0.167421432,1.282154971,37200
374,1.198105281,0.028249393,0.083465119,0.166930238,1.279073069,37300
375,1.201623698,0.02831463,0.083220729,0.166441458,1.276004844,37400
376,1.205145444,0.028379832,0.082977536,0.165955073,1.2729502,37500
377,1.208670521,0.028445,0.082735533,0.165471066,1.269909045,37600
378,1.212198931,0.028510134,0.082494711,0.164989421,1.266881288,37700
379,1.215730678,0.028575233,0.08225506,0.16451012,1.263866836,37800
380,1.219265764,0.028640298,0.082016573,0.164033147,1.260865599,37900
381,1.222804192,0.028705329,0.081779242,0.163558484,1.257877488,38000
382,1.226345965,0.028770325,0.081543058,0.163086116,1.254902414,38100
383,1.229891084,0.028835288,0.081308013,0.162616026,1.251940289,38200
384,1.233439554,0.028900216,0.081074099,0.162148197,1.248991025,38300
385,1.236991376,0.028965111,0.080841307,0.161682615,1.246054537,38400
386,1.240546553,0.029029972,0.080609631,0.161219262,1.243130739,38500
387,1.244105087,0.029094799,0.080379062,0.160758124,1.240219546,38600
388,1.247666983,0.029159593,0.080149592,0.160299185,1.237320874,38700
389,1.251232241,0.029224353,0.079921214,0.159842429,1.234434641,38800
390,1.254800865,0.029289079,0.07969392,0.15938784,1.231560762,38900
391,1.258372857,0.029353772,0.079467703,0.158935405,1.228699158,39000
392,1.26194822,0.029418432,0.079242554,0.158485108,1.225849746,39100
393,1.265526956,0.029483058,0.079018467,0.158036934,1.223012447,39200
394,1.269109069,0.029547651,0.078795434,0.157590868,1.220187181,39300
395,1.272694561,0.029612211,0.078573448,0.157146896,1.217373869,39400
396,1.276283433,0.029676738,0.078352502,0.156705004,1.214572433,39500
397,1.27987569,0.029741232,0.078132588,0.156265176,1.211782797,39600
398,1.283471333,0.029805693,0.0779137,0.155827399,1.209004882,39700
399,1.287070365,0.029870121,0.07769583,0.15539166,1.206238613,39800
400,1.290672789,0.029934516,0.077478971,0.154957943,1.203483914,39900
401,1.294278607,0.029998879,0.077263117,0.154526235,1.200740712,40000
402,1.297887821,0.030063209,0.077048261,0.154096523,1.198008932,40100
403,1.301500435,0.030127506,0.076834396,0.153668792,1.1952885,40200
404,1.305116451,0.030191771,0.076621515,0.15324303,1.192579344,40300
405,1.308735871,0.030256003,0.076409612,0.152819224,1.189881392,40400
406,1.312358698,0.030320203,0.07619868,0.152397359,1.187194572,40500
407,1.315984935,0.030384371,0.075988712,0.151977424,1.184518813,40600
408,1.319614583,0.030448506,0.075779702,0.151559404,1.181854045,40700
409,1.323247646,0.030512609,0.075571644,0.151143288,1.179200199,40800
