"","iso_code","location","region","sub_region","date","new_cases","total_cases","MA_new_cases","MA_total_cases","date_import","MSM_pop","pop2022","cum_icni_prop"
"169","LVA","Latvia","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-06-03,19425.7358698135,1850.651,0
"170","LBN","Lebanon","Asia","Western Asia",2022-05-02,0,0,0,0,2022-06-20,16500,5489.739,0
"171","LBR","Liberia","Africa","Sub-Saharan Africa",2022-05-02,0,0,0,0,2022-07-23,74600,5302.681,0
"172","LTU","Lithuania","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-08-03,28866.5134903663,2750.055,0
"173","LUX","Luxembourg","Europe","Western Europe",2022-05-02,0,0,0,0,2022-06-16,5885.0710259828,647.599,0
"174","MLT","Malta","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-05-28,3851.9846274941,533.286,0
"175","MTQ","Martinique","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-15,12384.9859,367.507,0
"176","MEX","Mexico","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-05-28,1200000,127504.125,0
"177","MDA","Moldova","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-08-08,14600,3272.996,0
"178","MCO","Monaco","Europe","Western Europe",2022-05-02,0,0,0,0,2022-07-21,331.412888603235,36.469,0
"179","MNE","Montenegro","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-08-01,4529.48366200923,627.082,0
"180","MAR","Morocco","Africa","Northern Africa",2022-05-02,0,0,0,0,2022-06-02,42000,37457.971,0
"181","NLD","Netherlands","Europe","Western Europe",2022-05-02,0,0,0,0,2022-05-20,230000,17564.014,0
"182","NCL","New Caledonia","Oceania","Melanesia",2022-05-02,0,0,0,0,2022-07-12,4726.185,289.95,0
"183","NZL","New Zealand","Oceania","Australia and New Zealand",2022-05-02,0,0,0,0,2022-07-09,37500,5185.288,0
"184","NGA","Nigeria","Africa","Sub-Saharan Africa",2022-05-02,0,15,0.357142857142857,11.0714285714286,2022-01-31,240000,218541.212,4.61309523809524e-05
"185","NOR","Norway","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-05-31,57042.4383237622,5434.319,0
"186","PAN","Panama","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-05,29600,4408.581,0
"187","PRY","Paraguay","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-25,27700,6780.744,0
"188","PER","Peru","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-06-26,260000,34049.588,0
